id,text,created_at,user_id,user_name,attitudes_count,comments_count,reposts_count,source,clean_text
5175973437770938,"🎉🎉高考结束的宝宝们看过来啦‼‼‼ <br />❓暑假太长在家无聊❓ <br />❓未入大学略显焦虑❓ <br />❓充实自己无从下手❓<br />限时推出大学生活免费体验活动 <br />名额有限 面向全体高中毕业生🆓 <br />闲着也是闲着，不如提前感受大学生活！ <br />❌年龄要求 <br />❌分数限制 <br />⭕人来就行 <br />内容：<br />•📖【会计】考试🖊 <br />•📖 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 13:01:35 +0800 2025,6189759381,句号牌篮球,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/3g5cCO"" rel=""nofollow"">Xiaomi 14 Pro</a>",高考结束的宝宝们看过来啦 暑假太长在家无聊 未入大学略显焦虑 充实自己无从下手限时推出大学生活免费体验活动 名额有限 面向全体高中毕业生 闲着也是闲着不如提前感受大学生活 年龄要求 分数限制 人来就行 内容会计考试 展开
5175973207343584,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%91%E5%B9%B4%E7%9A%84%E8%82%A9%E8%86%80%E8%83%BD%E6%89%9B%E4%B9%A6%E6%9C%AC%E4%B9%9F%E8%83%BD%E6%89%9B%E8%B4%A3%E4%BB%BB%23"" target=""_blank"">#少年的肩膀能扛书本也能扛责任#</a>【男孩说高考完就去打工 “该让我爹妈歇歇了” 少年的肩膀能扛书本 也能扛责任！】<a href=""//s.weibo.com/weibo?q=%23%E4%B8%80%E5%8F%A5%E8%AF%A5%E8%AE%A9%E7%88%B9%E5%A6%88%E6%AD%87%E6%AD%87%E4%BA%86%E8%BF%99%E4%BD%8D%E8%80%83%E7%94%9F%E7%99%BB%E4%B8%8A%E5%8E%BB%E7%83%AD%E6%90%9C%23"" target=""_blank"">#一句该让爹妈歇歇了这位考生登上去热搜#</a> 6月8日，山东省实验中学考场外，结束英语考试的男生向记者描绘假期计划，高考完准备去打工挣钱看世界，“该让爹妈歇歇了！”懂事男生的暖心回答 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 13:00:40 +0800 2025,6960419254,兰陵融媒,0,1,0,所愿皆成真,男孩说高考完就去打工 该让我爹妈歇歇了 少年的肩膀能扛书本 也能扛责任 6月8日山东省实验中学考场外结束英语考试的男生向记者描绘假期计划高考完准备去打工挣钱看世界该让爹妈歇歇了懂事男生的暖心回答 展开
5175973018337390,"高考完该干啥啊<br />高考结束的宝宝们看过来啦！！！<br />😑暑假太长在家无聊？<br />😟未入大学略显焦虑？<br />✋充实自己无下从手？<br />现限时推出大学生活免费体验活动<br />名额有限📢<br />面向全体高中毕业生<br />闲着也是闲着，不如提前感受大学生活！<br />🈚年龄要求<br />🈚分数限制<br />✔️人来就行<br />免费欣赏大学<br />内容<br />【高等代学 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:59:54 +0800 2025,7629171437,吃苯宝宝乙醛-,0,0,0,iPhone 15 Pro,高考完该干啥啊高考结束的宝宝们看过来啦暑假太长在家无聊未入大学略显焦虑充实自己无下从手现限时推出大学生活免费体验活动名额有限面向全体高中毕业生闲着也是闲着不如提前感受大学生活年龄要求分数限制人来就行免费欣赏大学内容高等代学 展开
5175972779263744,"<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" />嘎巴一下就死掉了<img alt=""[悲伤]"" title=""[悲伤]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/2018new_beishang_org.png"" />今年监考遇到了舍长 好奇妙 感觉七年前是我们一起去高考<img alt=""[悲伤]"" title=""[悲伤]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/2018new_beishang_org.png"" />七年后是我俩第一次监考，同样的英语考试完的大暴雨，记得七年前也是一样的<img alt=""[悲伤]"" title=""[悲伤]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/2018new_beishang_org.png"" />社长还留了我们当时宿舍写的小纸条，果然人不能同时拥有青春和对青春的感受<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" /> ​​​",Tue Jun 10 12:58:58 +0800 2025,7191428700,总总OVO,0,1,0,iPhone客户端,嘎巴一下就死掉了今年监考遇到了舍长 好奇妙 感觉七年前是我们一起去高考七年后是我俩第一次监考同样的英语考试完的大暴雨记得七年前也是一样的社长还留了我们当时宿舍写的小纸条果然人不能同时拥有青春和对青春的感受
5175972238197681,"江苏，过来旅游的，很多道路封路。发现浙江这里10号还在高考，好惨<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />首考英语比较难，昨天就觉得有点惨。 ​​​",Tue Jun 10 12:56:49 +0800 2025,7313189863,no_cross_no_crown_,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/2NufDc"" rel=""nofollow"">荣耀400 Pro</a>",江苏过来旅游的很多道路封路发现浙江这里10号还在高考好惨首考英语比较难昨天就觉得有点惨
5175971872506805,"12142<br />可能是我最后一次在这投稿了 本人刚高考完 东三省出的政史地题特别难 在网上对答案好多都没把握 引以为傲的政治哲学题还进坑里了  地理最后八道题几乎全选的D。英语也扣了很多分  数学模考稳定在九十来分结果丢了十几分马虎错的分 考完了没有那么开心 很焦虑  我平时成绩连着十几次都很稳定 但是 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:55:22 +0800 2025,7866242333,温科事务所,0,2,0,🍀iPhone客户端,12142可能是我最后一次在这投稿了 本人刚高考完 东三省出的政史地题特别难 在网上对答案好多都没把握 引以为傲的政治哲学题还进坑里了 地理最后八道题几乎全选的D英语也扣了很多分 数学模考稳定在九十来分结果丢了十几分马虎错的分 考完了没有那么开心 很焦虑 我平时成绩连着十几次都很稳定 但是 展开
5175970680013432,"「2025各省高考真题试卷及答案汇总」 ​​​<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%23"" target=""_blank"">#高考#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E5%8D%B7%E6%98%AF%E6%88%91%E5%94%AF%E4%B8%80%E6%B2%A1%E5%AF%B9%E8%BF%87%E7%AD%94%E6%A1%88%E7%9A%84%E8%AF%95%E5%8D%B7%23"" target=""_blank"">#高考卷是我唯一没对过答案的试卷#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E8%8B%B1%E8%AF%AD%23"" target=""_blank"">#高考英语#</a><a target=""_blank"" href=""https://weibo.com/p/100808689d4e106745fd7f4ea5b204e4d96857""><img class=""icon-link"" title=""#高考[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>高考超话</a> ​​​<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E4%BC%B0%E5%88%86%23"" target=""_blank"">#高考估分#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E7%9C%9F%E9%A2%98%23"" target=""_blank"">#高考真题#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E6%88%90%E7%BB%A9%23"" target=""_blank"">#高考成绩#</a> ​​​",Tue Jun 10 12:50:38 +0800 2025,7798013466,优惠羊毛共享叭,0,3,0,iPhone客户端,2025各省高考真题试卷及答案汇总 高考超话
5175970199765374,"//<a href=/n/杭之冯玥希望我好自为之 usercard=""name=@杭之冯玥希望我好自为之"">@杭之冯玥希望我好自为之</a>:回复<a href=/n/还是去吧 usercard=""name=@还是去吧"">@还是去吧</a>:学口语肯定有用呀。但同样需要词汇量的日积月累，abandon……笨功夫就是好功夫，学语言没有捷径。//<a href=/n/还是去吧 usercard=""name=@还是去吧"">@还是去吧</a>:看电影/美剧学英语是不是效果很好啊？我看很多博主都在推//<a href=/n/杭之冯玥希望我好自为之 usercard=""name=@杭之冯玥希望我好自为之"">@杭之冯玥希望我好自为之</a>:高考英语94/100。不觉得中国的英语教育失败，任何语言的学习都 ...<span class=""expand"">展开</span>",Tue Jun 10 12:48:42 +0800 2025,1817153892,贼船舵手,0,0,0,微博轻享版,回复学口语肯定有用呀但同样需要词汇量的日积月累abandon笨功夫就是好功夫学语言没有捷径看电影美剧学英语是不是效果很好啊我看很多博主都在推高考英语94100不觉得中国的英语教育失败任何语言的学习都 展开
5175970176698482,"大学衔接班开始报名啦！<br />🎉🎉高考结束的宝宝‬们看过来啦‼‼<br />❓暑假太长在家无聊❓<br />❓未入大学略显焦虑❓<br />❓充实自己无下从‬手❓<br />现限时推出大学生活免费体验活动<br />名额有限 ㊙㊙<br />面向全体高中毕业生🆓<br />闲着也是闲着，不如提前感受大学生活！<br />❌年龄要求<br />❌分数限制<br />⭕人来就‬行<br />内容<br />•📙【 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:48:38 +0800 2025,7953698614,摆烂等于快乐___,2,6,0,6d的小宇宙,大学衔接班开始报名啦高考结束的宝宝们看过来啦暑假太长在家无聊未入大学略显焦虑充实自己无下从手现限时推出大学生活免费体验活动名额有限 面向全体高中毕业生闲着也是闲着不如提前感受大学生活年龄要求分数限制人来就行内容 展开
5175969826210635,您的高考成绩出来了<br />——————————<br />语文：0<br />数学：0<br />英语：0<br />物理：0<br />化学：0<br />生物：0<br /><br />以下是加分情况:<br />嬷丁羽西：+520<br />泥塑丁羽西：+178<br />磕mrxx/xylx/dx/mzzd/光禹：+52<br /><br />恭喜您高考总分750分！ ​​​,Tue Jun 10 12:47:14 +0800 2025,7326089220,猫猫至上主义_Ryan,2,9,0,兮妹的子宫Android,您的高考成绩出来了语文0数学0英语0物理0化学0生物0以下是加分情况嬷丁羽西520泥塑丁羽西178磕mrxxxylxdxmzzd光禹52恭喜您高考总分750分
5175969725022705,"【全国卷高考英语总分为？】 答错，心情 down 到谷底<a href=""//s.weibo.com/weibo?q=%23%E7%AB%A5%E5%B9%B4%E8%AE%B0%E5%BF%86%E8%B6%A3%E5%91%B3%E7%AD%94%E9%A2%98%23"" target=""_blank"">#童年记忆趣味答题#</a>  ​​​",Tue Jun 10 12:46:50 +0800 2025,6862565840,鏡絲sos,0,0,0,答题挑战赛,全国卷高考英语总分为 答错心情 down 到谷底
5175969590808203,"<a href=""//s.weibo.com/weibo?q=%23%E7%89%A9%E6%94%BF%E5%8C%96%E5%8F%B2%E7%94%9F%E5%9C%B0%23"" target=""_blank"">#物政化史生地#</a>2025年3+X高考省份于6月7日至10日举行。具体科目安排如下：<br /> <br />- 6月7日：9：00-11：30考语文，15：00-17：00考数学。<br />​<br />- 6月8日：15：00-17：00考英语。<br />​<br />- 6月9日：8：00-9：30考物理，11：00-12：30考思想政治，15：30-17：00考化学。<br />​<br />- 6月10日：8：00-9：30考历史，11：00-12 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:46:18 +0800 2025,8002229050,人间正道是沧桑199906,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/1hvYmo"" rel=""nofollow"">荣耀Magic6 Pro</a>",2025年3X高考省份于6月7日至10日举行具体科目安排如下 6月7日9001130考语文15001700考数学 6月8日15001700考英语 6月9日800930考物理11001230考思想政治15301700考化学 6月10日800930考历史110012 展开
5175969295897603,"<a href=""//s.weibo.com/weibo?q=%23%E4%B8%B4%E6%B1%BE%23"" target=""_blank"">#临汾#</a> 我的评分：<br /><a target=""_blank"" href=""https://weibo.com/p/10080851ed5067c29e91c7219222e9dea95a0e""><img class=""icon-link"" title=""#临汾[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>临汾超话</a><a href=""//s.weibo.com/weibo?q=%23%E5%A4%A7%E5%AD%A6%E7%94%9F%E5%AE%B6%E6%95%99%23"" target=""_blank"">#大学生家教#</a> 临汾尧都区暑假有需要家教的吗，在读大学生，寒暑假曾有过多次家教经验，重点辅导初中英语数学，本人中考数学英语110+（满分120），高考数学110+（满分150)英语130+（满分150）<a href=""//s.weibo.com/weibo?q=%23%E5%A4%A7%E5%AD%A6%E7%94%9F%E5%AE%B6%E6%95%99%23"" target=""_blank"">#大学生家教#</a> 有需要的私我<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E4%B8%B4%E6%B1%BE%23"" target=""_blank"">#临汾#</a>  ​​​",Tue Jun 10 12:45:08 +0800 2025,5315586579,_BeautyFour,0,0,0,点评,我的评分临汾超话 临汾尧都区暑假有需要家教的吗在读大学生寒暑假曾有过多次家教经验重点辅导初中英语数学本人中考数学英语110满分120高考数学110满分150英语130满分150 有需要的私我
5175968712886342,刷到这条抖音 想起来自己高考那年 妈妈穿着旗袍 爸爸抱着鲜花<br />考完最后一门英语 打铃出考场的瞬间 不管答卷的对错 空气都变得轻盈了<br />小时候以为高考完 人生就在没有难事了 到现在才明白 人生不过是一座一座翻不完的大山 ​​​,Tue Jun 10 12:42:49 +0800 2025,1999242343,悠米碎冰冰,0,1,0,iPhone客户端,刷到这条抖音 想起来自己高考那年 妈妈穿着旗袍 爸爸抱着鲜花考完最后一门英语 打铃出考场的瞬间 不管答卷的对错 空气都变得轻盈了小时候以为高考完 人生就在没有难事了 到现在才明白 人生不过是一座一座翻不完的大山
5175967917277443,10165<br />您的高考成绩出来了<br />——————————<br />语文：0<br />数学：0<br />英语：0<br />物理：0<br />化学：0<br />生物：0<br /><br />以下是加分情况:<br />玩1999当9女厨：+520<br />搞9的gl做9女gl产出：+99<br />是tft铁粉/金粉/钻粉：+131<br /><br />恭喜您高考总分750分！ ​​​,Tue Jun 10 12:39:38 +0800 2025,6232941048,vv要吃太妃糖,22,8,0,,10165您的高考成绩出来了语文0数学0英语0物理0化学0生物0以下是加分情况玩1999当9女厨520搞9的gl做9女gl产出99是tft铁粉金粉钻粉131恭喜您高考总分750分
